Year,UNITID,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP,Total,AllocProportion,SampleSize,ActualProportion,SelectionProb,SamplingWeight
2017,199120,9005,34588,1604,11556,3404,11556,3404,1368,0.25,125,0.25,0.091374269,10.944
2017,201195,31668,31668,1654,9142,3540,8882,5050,1368,0.25,125,0.25,0.091374269,10.944
2017,202480,41750,41750,1000,13180,1750,13180,1750,1368,0.25,125,0.25,0.091374269,10.944
2017,203845,36040,36040,1228,11330,1506,3760,2042,1368,0.25,125,0.25,0.091374269,10.944
2017,206437,29365,29365,1104,10530,2430,8622,2634,1368,0.25,125,0.25,0.091374269,10.944
2017,206941,7100,17447,1600,7970,6946,9950,8546,1368,0.25,125,0.25,0.091374269,10.944
2017,207403,26840,26840,1350,7150,4500,7150,4500,1368,0.25,125,0.25,0.091374269,10.944
2017,211431,28596,28596,1400,11108,2082,11108,2082,1368,0.25,125,0.25,0.091374269,10.944
2017,212197,45350,45350,1100,10990,1050,6894,1050,1368,0.25,125,0.25,0.091374269,10.944
2017,213543,50740,50740,1000,13120,1065,13120,1065,1368,0.25,125,0.25,0.091374269,10.944
2017,213613,10576,20056,1700,9968,4240,9968,4240,1368,0.25,125,0.25,0.091374269,10.944
2017,213783,12316,22008,2000,11998,2408,9256,3508,1368,0.25,125,0.25,0.091374269,10.944
2017,214166,22430,22430,2500,10338,3000,10000,3000,1368,0.25,125,0.25,0.091374269,10.944
2017,214731,14460,22378,1840,11280,4788,11280,4788,1368,0.25,125,0.25,0.091374269,10.944
2017,214971,37096,37096,1511,16480,4202,16480,4202,1368,0.25,125,0.25,0.091374269,10.944
2017,215743,34956,34956,2000,11928,3000,11928,6000,1368,0.25,125,0.25,0.091374269,10.944
2017,215770,43880,43880,840,14840,1294,14840,1294,1368,0.25,125,0.25,0.091374269,10.944
2017,219000,31960,31960,1000,8008,4490,6328,5685,1368,0.25,125,0.25,0.091374269,10.944
2017,219259,8280,11210,1200,7844,4000,7850,4000,1368,0.25,125,0.25,0.091374269,10.944
2017,219718,16552,16552,1200,9198,4620,9198,4620,1368,0.25,125,0.25,0.091374269,10.944
2017,220206,18458,18458,876,7478,7000,6900,7900,1368,0.25,125,0.25,0.091374269,10.944
2017,220516,28572,28572,1440,8424,3500,5130,6670,1368,0.25,125,0.25,0.091374269,10.944
2017,224323,38716,38716,1000,11960,3200,8500,3200,1368,0.25,125,0.25,0.091374269,10.944
2017,225399,31730,31730,1000,8242,4350,9329,5631,1368,0.25,125,0.25,0.091374269,10.944
2017,225502,6805,17750,1200,8134,3500,7996,4178,1368,0.25,125,0.25,0.091374269,10.944
2017,225627,29990,29990,1400,12436,2940,11830,3484,1368,0.25,125,0.25,0.091374269,10.944
2017,226152,7143,17411,960,8160,1720,7298,2596,1368,0.25,125,0.25,0.091374269,10.944
2017,227863,32660,32660,1094,8850,3902,10090,4762,1368,0.25,125,0.25,0.091374269,10.944
2017,228796,7851,21596,1632,9495,4232,9495,4232,1368,0.25,125,0.25,0.091374269,10.944
2017,229267,41344,41344,1000,13136,1400,10160,1400,1368,0.25,125,0.25,0.091374269,10.944
2017,230728,7870,21520,824,7080,3840,8020,3840,1368,0.25,125,0.25,0.091374269,10.944
2017,231059,43640,43640,1200,11750,970,11750,970,1368,0.25,125,0.25,0.091374269,10.944
2017,231651,17288,17288,1000,7128,3743,10845,7595,1368,0.25,125,0.25,0.091374269,10.944
2017,231712,13654,25850,1244,11224,3558,11862,4100,1368,0.25,125,0.25,0.091374269,10.944
2017,232937,9036,20478,2535,10288,4038,10288,4038,1368,0.25,125,0.25,0.091374269,10.944
2017,235097,7109,23862,840,11493,2700,11493,2700,1368,0.25,125,0.25,0.091374269,10.944
2017,235316,41330,41330,1104,11550,3366,11550,3366,1368,0.25,125,0.25,0.091374269,10.944
2017,236452,35656,35656,1000,11030,3000,9360,3000,1368,0.25,125,0.25,0.091374269,10.944
2017,237066,42186,42186,840,11496,3302,9693,3302,1368,0.25,125,0.25,0.091374269,10.944
2017,238193,28277,28277,625,8296,3220,7900,4120,1368,0.25,125,0.25,0.091374269,10.944
2017,240426,8109,15682,1000,6710,4020,6710,4020,1368,0.25,125,0.25,0.091374269,10.944
2017,262129,6916,29944,1200,9264,3270,11266,3270,1368,0.25,125,0.25,0.091374269,10.944
2017,443058,6570,6570,1200,9176,5968,9616,6264,1368,0.25,125,0.25,0.091374269,10.944
2017,482680,4421,12834,1390,10440,3430,8060,4030,1368,0.25,125,0.25,0.091374269,10.944
2018,100706,10714,22362,2034,10094,3808,8875,3808,1368,0.25,125,0.25,0.091374269,10.944
2018,101189,21690,21690,1800,7750,4200,8000,4700,1368,0.25,125,0.25,0.091374269,10.944
2018,104151,10822,28336,1148,12648,3430,9684,4412,1368,0.25,125,0.25,0.091374269,10.944
2018,106467,7254,12678,1330,7870,2331,11902,3991,1368,0.25,125,0.25,0.091374269,10.944
2018,110510,6922,18802,1917,12711,2328,13770,2721,1368,0.25,125,0.25,0.091374269,10.944
2018,110574,6983,18863,1500,13980,2680,13986,2830,1368,0.25,125,0.25,0.091374269,10.944
2018,110662,13226,42218,1450,15816,4128,13808,4772,1368,0.25,125,0.25,0.091374269,10.944
2018,110714,13960,42952,1089,16448,4720,12757,5102,1368,0.25,125,0.25,0.091374269,10.944
2018,117140,43050,43050,1916,13420,3310,13779,4318,1368,0.25,125,0.25,0.091374269,10.944
2018,117168,30700,30700,1917,15418,3365,13779,4248,1368,0.25,125,0.25,0.091374269,10.944
2018,120883,48164,48164,1917,13650,3240,13779,4248,1368,0.25,125,0.25,0.091374269,10.944
2018,123457,30200,30200,1704,8950,3071,12248,3967,1368,0.25,125,0.25,0.091374269,10.944
2018,123651,33720,33720,1850,9980,3250,13890,4340,1368,0.25,125,0.25,0.091374269,10.944
2018,125897,39790,39790,1917,11550,3240,13779,4248,1368,0.25,125,0.25,0.091374269,10.944
2018,126614,12532,37286,1800,14418,2294,12622,2294,1368,0.25,125,0.25,0.091374269,10.944
2018,126669,31866,31866,1000,11084,1575,8910,1575,1368,0.25,125,0.25,0.091374269,10.944
2018,128771,10616,23124,1050,12176,2027,11738,2465,1368,0.25,125,0.25,0.091374269,10.944
2018,130590,56910,56910,1000,14750,1500,14750,1500,1368,0.25,125,0.25,0.091374269,10.944
2018,130934,7868,16904,1900,11433,2219,12672,5664,1368,0.25,125,0.25,0.091374269,10.944
2018,132903,6368,22467,1200,10010,4970,10010,4970,1368,0.25,125,0.25,0.091374269,10.944
2018,134097,5656,18786,1000,10666,4846,10666,4846,1368,0.25,125,0.25,0.091374269,10.944
2018,139940,9112,23971,1600,14392,910,12260,2090,1368,0.25,125,0.25,0.091374269,10.944
2018,141334,6288,17074,1600,9708,6800,6900,6800,1368,0.25,125,0.25,0.091374269,10.944
2018,145619,34290,34290,1510,11126,3080,10672,4364,1368,0.25,125,0.25,0.091374269,10.944
2018,147369,13056,13056,932,10360,2732,9020,2732,1368,0.25,125,0.25,0.091374269,10.944
2018,147767,54567,54567,1605,16626,1850,16626,1850,1368,0.25,125,0.25,0.091374269,10.944
2018,147828,36070,36070,1000,7900,2700,12550,1000,1368,0.25,125,0.25,0.091374269,10.944
